epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7002,1.14838,0.61948,1.10292,0.76195,0.77637,0.77452,0.4421,1.59785,0.79486,1.36679,0.000369069,0.000369069,0.000369069
2,140.543,1.18312,0.64111,1.11277,0.75447,0.76578,0.77834,0.43649,1.61579,0.81391,1.35579,0.000690602,0.000690602,0.000690602
3,208.397,1.23142,0.6781,1.13605,0.75239,0.75819,0.76916,0.42972,1.64148,0.83672,1.37688,0.000963251,0.000963251,0.000963251
4,277.582,1.2131,0.65926,1.12763,0.7281,0.76311,0.78462,0.44515,1.63051,0.82608,1.3684,0.000891022,0.000891022,0.000891022
5,346.164,1.22145,0.66836,1.13588,0.70987,0.77998,0.77475,0.43933,1.60735,0.8137,1.37611,0.000817696,0.000817696,0.000817696
6,412.899,1.16441,0.59559,1.11718,0.74725,0.75843,0.77088,0.43591,1.60509,0.82602,1.37873,0.00074437,0.00074437,0.00074437
7,479.902,1.13345,0.57518,1.10126,0.76465,0.75064,0.78796,0.44252,1.61803,0.82217,1.38783,0.000671044,0.000671044,0.000671044
8,545.86,1.11539,0.56236,1.09423,0.73352,0.75687,0.75772,0.42757,1.59725,0.82223,1.3592,0.000597718,0.000597718,0.000597718
9,612.982,1.09613,0.54874,1.08662,0.72677,0.79015,0.77399,0.43551,1.62403,0.80655,1.37434,0.000524392,0.000524392,0.000524392
10,678.296,1.08064,0.53558,1.08344,0.74224,0.75827,0.78286,0.44532,1.61132,0.80371,1.3762,0.000451066,0.000451066,0.000451066
11,745.286,1.06406,0.52679,1.07171,0.73031,0.78078,0.78009,0.44524,1.59032,0.79341,1.37755,0.00037774,0.00037774,0.00037774
12,811.517,1.02678,0.50246,1.05789,0.7303,0.7787,0.7851,0.44419,1.60902,0.7971,1.38283,0.000304414,0.000304414,0.000304414
13,878.811,1.01656,0.49191,1.05173,0.76619,0.76097,0.7943,0.45245,1.59433,0.77506,1.37836,0.000231088,0.000231088,0.000231088
14,945.483,0.99685,0.48085,1.04147,0.75532,0.76235,0.78306,0.44769,1.59603,0.77833,1.38461,0.000157762,0.000157762,0.000157762
15,1012.3,0.98165,0.47122,1.04088,0.7467,0.78453,0.77858,0.44322,1.59451,0.77803,1.3792,8.4436e-05,8.4436e-05,8.4436e-05
